@relation poblaciones

@attribute c0 {0, 1}
@attribute c1 {0, 1}
@attribute c2 {0, 1}
@attribute c3 {0, 1}
@attribute c4 {0, 1}
@attribute c5 {0, 1}
@attribute c6 {0, 1}
@attribute c7 {0, 1}
@attribute c8 {0, 1}
@attribute c9 {0, 1}
@attribute mutationProb numeric
@attribute refoodCap numeric
@attribute alimentCost numeric
@attribute movementCap numeric
@attribute generation integer
@attribute size integer
@attribute success {no, yes}

@data
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2.2733, 1.6649, -0.7042, -0.5059, 6, 1, no
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2.2733, 1.6649, -0.7042, -0.5059, 6, 1, no
0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1.0722001, 1.8896999, -0.24159998, 1.5727, 6, 1, no
0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0.47649997, 2.5830998, -1.5181, 0.6289, 6, 1, no
1, 0, 0, 0, 0, 1, 1, 1, 1, 0, -0.24189997, 4.3733, -2.3912, 1.5824001, 6, 16, yes
0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1.0748999, 2.2217002, 0.2917, -0.58440006, 6, 1, no
1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1.3909001, 4.1951, -3.7656999, 2.1705, 6, 1, no
0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 2.0544999, 3.1525, -2.1918, 0.62459993, 6, 1, no
1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1.1737001, 4.0058, -3.5763998, 1.9157, 6, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1.5529001, 4.1821, -3.0653, 2.3758998, 6, 1, no
0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2.9205, 3.4817, -2.521, 0.67209995, 6, 1, no
1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0.86050004, 3.4857998, -3.0563998, 1.8406, 6, 1, no
0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1.8754001, 4.0432, -2.9782, 1.0299, 6, 1, no
0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 2.2304, 4.7436, -3.0955, 2.2477999, 6, 1, no
0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0.59260005, 2.6316, -1.6709001, 1.7058, 6, 1, no
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.4503, 2.5830998, -2.0493999, 0.5733, 6, 1, no
0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0.8125001, 5.729, -2.6325002, 3.5285997, 6, 1, no
0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1.3623, 4.9427, -2.5336, 1.6336999, 6, 1, no
0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0.6914001, 3.3903, -2.4296, 2.4977999, 6, 1, no
0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 2.1136, 3.6360998, -1.988, 1.3996998, 6, 1, no
0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1.6384001, 3.1290998, -2.1684, 1.1192, 6, 1, no
0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 2.1688, 3.8384, -2.8776999, 1.4491, 6, 1, no
0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0.5953001, 5.5396996, -2.4432, 3.2738, 6, 1, no
1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0.78730005, 2.9346998, -1.8179002, 1.7350999, 6, 1, no
1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0.86320007, 6.3939, -3.8287003, 3.4085999, 6, 1, no
1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1.9254, 3.6490998, -3.2196999, 1.1387, 6, 1, no
0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1.8008, 4.066, -1.6568999, 0.7815999, 6, 1, no
1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0.13730001, 4.5495996, -1.8801001, 2.0425997, 6, 1, no
0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2.3492, 5.1240997, -2.7150002, 1.1675998, 6, 1, no
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2.1729, 2.5830998, -1.6224, 0.08739996, 6, 1, no
0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0.6914001, 3.3903, -2.4296, 2.4977999, 6, 1, no
0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1.1237001, 4.3999, -3.3349, 1.8069, 6, 1, no
1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1.6122, 3.1290998, -2.6996999, 1.0636, 6, 1, no
0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 2.0135999, 5.5042, -3.0951002, 1.4499999, 6, 1, no
